Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55659629,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,"Bailey, Tessa",,"=""0063045656""","=""9780063045651""",3,4.05,Avon,Paperback,416,2021,2021,2022/10/24,2022/09/25,,,read,,,,1,0
10357575,"1Q84 (1Q84, #1-3)",Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""0307593312""","=""9780307593313""",0,3.94,Knopf,Hardcover,925,2011,2009,,2022/10/07,to-read,to-read (#57),to-read,,,,0,0
58679358,"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,"McManus, Karen M.",,"=""0593565371""","=""9780593565377""",0,3.98,Delacorte Press,Hardcover,416,2021,2017,,2022/10/01,to-read,to-read (#56),to-read,,,,0,0
35796008,"Dance of Thieves (Dance of Thieves, #1)",Mary E. Pearson,"Pearson, Mary E.",,"=""1250159016""","=""9781250159014""",0,4.20,Henry Holt and Co. (BYR),Hardcover,512,2018,2018,,2022/09/30,to-read,to-read (#55),to-read,,,,0,0
30319086,If We Were Villains,M.L. Rio,"Rio, M.L.",,"=""125009528X""","=""9781250095282""",0,4.23,Flatiron Books,Hardcover,354,2017,2017,,2022/09/30,to-read,to-read (#54),to-read,,,,0,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",0,4.17,Vintage,Paperback,559,2004,1992,,2022/09/30,to-read,to-read (#53),to-read,,,,0,0
13153370,My Policeman,Bethan Roberts,"Roberts, Bethan","Emma Powell, Piers Hampton","=""0701185848""","=""9780701185848""",0,4.06,Chatto  Windus,Hardcover,352,2012,2021,,2022/09/25,to-read,to-read (#52),to-read,,,,0,0
44890081,My Dark Vanessa,Kate Elizabeth Russell,"Russell, Kate Elizabeth",,"=""006294150X""","=""9780062941503""",0,4.09,William Morrow,Hardcover,373,2020,2020,,2022/09/25,to-read,to-read (#51),to-read,,,,0,0
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",0,3.88,Penguin,Paperback,331,1995,1955,,2022/09/25,to-read,to-read (#50),to-read,,,,0,0
42815544,Bunny,Mona Awad,"Awad, Mona",,"=""0525559736""","=""9780525559733""",0,3.57,Viking,Hardcover,307,2019,2019,,2022/09/25,to-read,to-read (#49),to-read,,,,0,0
60114057,"The American Roommate Experiment (Spanish Love Deception, #2)",Elena  Armas,"Armas, Elena",,"=""1668002779""","=""9781668002773""",4,3.93,Atria Books,Paperback,400,2022,2022,2022/09/22,2022/09/19,,,read,,,,1,0
58100280,The Cheat Sheet,Sarah       Adams,"Adams, Sarah",,"=""""","=""""",3,3.76,,Kindle Edition,306,2021,2021,2022/09/13,2022/06/02,,,read,,,,1,0
57693481,"Good Girl Complex (Avalon Bay, #1)",Elle Kennedy,"Kennedy, Elle",,"=""1250796733""","=""9781250796738""",4,3.60,St. Martin's Griffin,Paperback,368,2022,2022,2022/09/08,2022/06/02,,,read,,,,1,0
51171377,"Axiom's End (Noumena, #1)",Lindsay  Ellis,"Ellis, Lindsay",,"=""1250256739""","=""9781250256737""",0,3.73,St. Martin's Press,Hardcover,384,2020,2020,,2022/09/03,to-read,to-read (#48),to-read,,,,0,0
56356347,"Reyes de la Tierra Salvaje (La Banda, #1)",Nicholas Eames,"Eames, Nicholas",David Tejera Expósito,"=""8412299248""","=""9788412299243""",3,4.29,Gamon,Hardcover,544,2021,2017,2022/07/08,2021/10/06,,,read,,,,1,0
56554626,"The Ex Hex (The Ex Hex, #1)",Erin Sterling,"Sterling, Erin",,"=""006302747X""","=""9780063027473""",0,3.54,Avon,Paperback,308,2021,2021,,2022/09/01,to-read,to-read (#47),to-read,,,,0,0
58014893,Every Summer After,Carley Fortune,"Fortune, Carley",,"=""0593438531""","=""9780593438534""",5,4.30,Berkley,Paperback,320,2022,2022,2022/08/31,2022/08/01,,,read,,,,1,0
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,"=""0593336828""","=""9780593336823""",4,4.24,Berkley Books,Paperback,356,2021,2021,2022/07/12,2022/06/02,,,read,,,,1,0
43884209,"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,"Hibbert, Talia",,"=""0062941208""","=""9780062941206""",3,3.84,Avon,Paperback,373,2019,2019,2022/07/30,2022/06/02,,,read,,,,1,0
59651557,"Under One Roof (The STEMinist Novellas, #1)",Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",2,3.71,Berkley,Kindle Edition,112,2022,2022,2022/08/27,2022/07/07,,,read,,,,1,0
23980,When Harry Met Sally,Nora Ephron,"Ephron, Nora",,"=""0747575479""","=""9780747575474""",3,4.26,Bloomsbury Publishing PLC,Paperback,98,2004,1990,2022/08/13,2022/08/01,,,read,,,,1,0
57693648,Yerba Buena,Nina LaCour,"LaCour, Nina",,"=""1250810469""","=""9781250810465""",0,3.95,Flatiron Books,Hardcover,304,2022,2022,,2022/08/09,to-read,to-read (#46),to-read,,,,0,0
